Customer_ID,Age,Gender,Income,Spending_Score,Education_Level,Marital_Status,Purchase_Amount,Num_Transactions,Product_Category,Loyalty_Score,Customer_Tenure
1,56,Male,34307,28,Master's,Single,1282.17,6,Clothing,90,14
2,69,Male,44253,85,Master's,Divorced,2527.39,7,Beauty,6,6
3,46,Male,66136,21,PhD,Divorced,4211.39,40,Electronics,3,8
4,32,Male,104712,93,Master's,Single,2105.63,8,Electronics,43,10
5,60,Male,41020,41,Bachelor's,Single,1670.12,44,Furniture,24,10
6,25,Male,67961,32,Bachelor's,Married,2505.18,1,Groceries,59,13
7,38,Male,50412,15,High School,Single,1933.54,42,Electronics,66,13
8,56,Male,116891,86,Bachelor's,Single,315.45,43,Groceries,96,6
9,36,Male,59347,89,PhD,Married,1766.93,47,Groceries,65,5
10,40,Female,92033,44,High School,Divorced,1713.0,14,Furniture,72,8
11,28,Female,25586,82,Master's,Married,3561.7,44,Electronics,23,12
12,28,Male,85383,36,High School,Married,954.96,45,Furniture,1,5
13,41,Female,115835,79,High School,Divorced,438.56,12,Electronics,44,10
14,53,Female,110454,16,High School,Married,335.57,43,Furniture,61,6
15,57,Male,110195,13,Master's,Single,647.37,9,Furniture,3,10
16,41,Male,41328,54,Bachelor's,Divorced,210.52,26,Furniture,20,3
17,20,Female,38841,90,High School,Married,3877.06,25,Furniture,90,6
18,39,Male,58840,44,Bachelor's,Married,4776.89,13,Clothing,75,8
19,19,Male,105998,10,Master's,Divorced,807.25,9,Electronics,65,11
20,41,Male,24092,3,PhD,Single,581.2,33,Electronics,20,14
21,61,Female,22080,45,Bachelor's,Single,3113.38,33,Beauty,13,6
22,47,Female,34157,74,High School,Married,1766.49,5,Electronics,70,10
23,55,Female,64830,64,Bachelor's,Single,3063.63,39,Beauty,96,6
24,19,Male,54511,26,Master's,Divorced,3643.72,5,Clothing,3,11
25,38,Male,106804,81,Master's,Single,4754.76,41,Groceries,57,1
26,50,Male,116226,5,PhD,Single,4471.31,44,Beauty,44,12
27,29,Male,56017,54,PhD,Married,626.54,5,Furniture,72,4
28,39,Male,24479,80,Bachelor's,Divorced,330.73,35,Furniture,7,6
29,61,Female,60635,57,High School,Single,404.89,11,Clothing,11,1
30,42,Male,61174,86,High School,Single,3367.74,15,Clothing,17,6
31,66,Female,117081,67,Bachelor's,Married,2294.22,47,Furniture,16,10
32,44,Male,26350,71,PhD,Divorced,1297.7,13,Electronics,68,13
33,59,Female,111423,85,High School,Married,2060.97,47,Electronics,24,2
34,45,Male,102490,48,Master's,Single,3991.49,8,Furniture,95,11
35,33,Male,60806,89,Master's,Married,2796.48,18,Beauty,90,7
36,32,Male,72459,37,PhD,Single,3803.94,3,Electronics,38,7
37,64,Male,58480,11,Master's,Married,4491.99,10,Beauty,51,13
38,68,Female,22476,71,High School,Divorced,3303.77,30,Furniture,27,3
39,61,Male,83452,22,PhD,Single,996.19,8,Furniture,55,12
40,69,Female,99676,76,High School,Single,1064.22,27,Groceries,64,6
41,20,Female,20551,10,High School,Single,1375.9,20,Beauty,13,1
42,54,Female,65137,83,PhD,Married,513.7,6,Electronics,47,8
43,68,Male,43713,80,High School,Single,4380.38,20,Electronics,21,13
44,24,Male,44688,55,PhD,Married,2224.08,26,Beauty,24,12
45,38,Female,95275,64,High School,Divorced,1430.23,2,Furniture,40,6
46,26,Male,54813,68,PhD,Married,107.85,36,Electronics,92,2
47,56,Female,26615,6,PhD,Single,4983.85,42,Furniture,35,10
48,35,Female,107406,6,Master's,Single,4159.4,25,Groceries,30,3
49,21,Male,85751,51,Master's,Divorced,4956.74,9,Furniture,88,4
50,42,Male,83024,18,High School,Married,996.18,44,Beauty,94,13
51,31,Female,77613,35,PhD,Single,206.39,18,Electronics,40,5
52,67,Female,52637,40,PhD,Married,1945.18,17,Electronics,25,3
53,26,Male,94552,27,PhD,Single,1400.3,35,Electronics,14,3
54,43,Male,36220,3,High School,Single,4952.09,40,Beauty,48,13
55,19,Male,65627,6,Bachelor's,Married,293.77,11,Groceries,69,5
56,37,Female,115687,29,Master's,Single,622.48,8,Clothing,38,14
57,45,Female,67440,92,Master's,Divorced,447.24,38,Furniture,32,11
58,64,Female,92437,92,Bachelor's,Married,4221.61,45,Electronics,21,5
59,24,Male,86773,55,Bachelor's,Divorced,2176.51,1,Groceries,79,13
60,61,Female,30833,60,Bachelor's,Divorced,2543.28,34,Clothing,15,4
61,25,Female,59770,90,Master's,Married,1395.65,8,Groceries,11,11
62,64,Female,91743,60,Master's,Single,778.8,15,Furniture,74,12
63,52,Male,69921,84,Master's,Divorced,3499.21,40,Clothing,74,2
64,31,Female,118048,16,High School,Divorced,4633.48,7,Clothing,86,1
65,34,Male,59541,24,PhD,Single,4165.78,42,Furniture,58,4
66,53,Female,26975,77,Master's,Single,3713.58,43,Beauty,28,11
67,67,Female,95240,32,Master's,Divorced,1963.72,48,Clothing,46,5
68,57,Male,94055,43,High School,Married,4649.54,23,Electronics,87,7
69,21,Male,67956,72,High School,Married,4638.72,10,Beauty,60,9
70,19,Male,26679,62,Bachelor's,Single,3296.81,13,Electronics,73,9
71,23,Female,54177,36,High School,Married,2060.99,46,Beauty,76,12
72,59,Male,42491,11,PhD,Single,3614.87,10,Electronics,9,1
73,21,Female,85953,13,Master's,Single,2841.33,40,Electronics,15,5
74,46,Female,108375,29,Master's,Divorced,1800.57,10,Clothing,15,12
75,35,Male,29675,54,PhD,Divorced,2800.06,45,Electronics,67,13
76,43,Male,36753,29,PhD,Single,1081.06,13,Clothing,16,13
77,61,Male,103972,57,Bachelor's,Single,3373.9,5,Groceries,91,14
78,51,Male,69260,34,High School,Married,4554.73,8,Beauty,86,11
79,27,Female,54683,19,Master's,Divorced,2698.65,37,Furniture,40,2
80,53,Female,102102,80,Master's,Single,1676.88,49,Groceries,92,14
81,31,Male,33942,42,Master's,Married,4818.3,46,Groceries,97,6
82,48,Male,39747,31,PhD,Married,3222.8,15,Furniture,1,2
83,65,Female,88423,27,Master's,Divorced,2650.55,25,Electronics,91,1
84,32,Female,109949,51,PhD,Married,2087.87,17,Beauty,64,12
85,25,Male,74966,49,PhD,Divorced,2784.18,6,Beauty,37,13
86,31,Female,45684,14,High School,Married,2529.94,30,Electronics,84,11
87,40,Female,29389,93,Bachelor's,Divorced,4096.68,35,Groceries,11,3
88,57,Female,28755,87,High School,Divorced,4494.8,45,Groceries,79,11
89,38,Female,116189,92,PhD,Single,3948.99,46,Electronics,24,2
90,33,Female,64769,74,Bachelor's,Married,1701.99,6,Electronics,95,6
91,62,Female,20643,90,Bachelor's,Married,3089.31,44,Clothing,6,12
92,35,Female,40663,63,High School,Divorced,4639.69,18,Groceries,11,3
93,64,Female,119594,87,Master's,Single,4683.11,31,Clothing,84,7
94,41,Male,71669,82,Master's,Single,4554.82,33,Electronics,1,2
95,43,Female,67281,4,Bachelor's,Divorced,1618.01,22,Electronics,51,12
96,42,Male,77020,57,PhD,Married,3274.41,20,Beauty,92,9
97,62,Male,79030,11,PhD,Married,2820.19,13,Furniture,33,5
98,58,Male,60317,43,PhD,Married,2402.69,47,Clothing,69,1
99,46,Male,23184,40,PhD,Divorced,4959.5,18,Beauty,4,12
100,32,Male,65025,40,Bachelor's,Single,1799.61,40,Clothing,87,6
101,62,Female,44861,13,High School,Single,1226.96,19,Furniture,24,3
102,18,Male,118426,25,Bachelor's,Married,2840.2,22,Beauty,30,7
103,42,Female,98360,7,Master's,Single,515.48,20,Clothing,5,7
104,24,Male,118845,94,Bachelor's,Married,3698.62,33,Beauty,11,11
105,26,Female,114886,6,High School,Married,111.07,24,Beauty,46,12
106,41,Female,28171,41,Master's,Single,962.18,3,Groceries,76,11
107,18,Male,56815,96,Bachelor's,Single,4920.0,18,Furniture,39,7
108,61,Female,97385,37,Bachelor's,Single,791.1,47,Furniture,43,9
109,25,Male,65022,85,Master's,Divorced,277.24,45,Clothing,60,7
110,41,Female,61851,29,High School,Married,1232.46,18,Clothing,16,1
111,28,Female,62568,89,High School,Divorced,1354.99,48,Clothing,63,7
112,68,Male,105615,74,Bachelor's,Divorced,557.12,25,Groceries,10,4
113,34,Female,66802,19,PhD,Divorced,1460.24,20,Groceries,37,10
114,25,Female,102611,68,PhD,Divorced,2493.53,30,Beauty,32,9
115,52,Female,24612,60,Master's,Divorced,2168.53,44,Electronics,50,1
116,52,Female,97643,93,PhD,Single,495.99,21,Groceries,25,7
117,50,Female,78057,81,Bachelor's,Married,1671.0,41,Electronics,6,12
118,22,Female,54047,98,High School,Married,3451.77,34,Electronics,20,3
119,59,Male,32941,5,PhD,Married,2192.18,14,Groceries,29,6
120,56,Female,86451,70,Bachelor's,Divorced,1532.5,1,Beauty,89,11
121,58,Male,97331,99,Master's,Single,758.33,32,Electronics,46,4
122,45,Female,30155,68,PhD,Married,1913.89,31,Groceries,52,1
123,24,Male,83478,47,Master's,Divorced,3908.88,17,Beauty,37,9
124,26,Female,106115,27,PhD,Divorced,2115.53,24,Furniture,45,11
125,25,Male,59923,41,PhD,Single,2499.77,6,Groceries,24,2
126,29,Female,70456,1,Master's,Single,3755.42,11,Beauty,88,1
127,51,Male,34504,80,High School,Married,797.53,15,Furniture,8,2
128,50,Male,68493,89,Master's,Married,4436.44,24,Electronics,40,4
129,65,Male,64414,40,High School,Single,4397.58,23,Groceries,34,5
130,40,Female,37640,4,Bachelor's,Married,2111.75,18,Beauty,71,12
131,41,Female,104737,36,PhD,Married,3603.69,35,Electronics,76,2
132,54,Female,111019,53,Bachelor's,Married,2515.44,12,Electronics,20,11
133,52,Male,69179,11,High School,Married,519.33,5,Clothing,80,8
134,61,Female,75339,58,PhD,Single,710.29,38,Furniture,46,2
